id,name,location,alert,startTime,animalType,canPlay,prioritize,prioritizeMinutes,inCage
1a,Luna,A1,,0,Cat,TRUE,FALSE,0,TRUE
2a,Whiskers,A2,,0,Cat,TRUE,FALSE,0,TRUE
3a,Cleo,A3,,0,Cat,TRUE,FALSE,0,TRUE
4a,Nimbus,A4,,0,Cat,TRUE,FALSE,0,TRUE
5a,Mochi,A5,,0,Cat,TRUE,FALSE,0,TRUE
6a,Tofu,A6,,0,Cat,TRUE,FALSE,0,TRUE
7a,Zephyr,A7,,0,Cat,TRUE,FALSE,0,TRUE
8a,Fluffy,A8,,0,Cat,TRUE,FALSE,0,TRUE
9a,Tinker,A9,,0,Cat,TRUE,FALSE,0,TRUE
10,Pesto,A10,,0,Cat,TRUE,FALSE,0,TRUE
11,Juniper,B1,,0,Cat,TRUE,FALSE,0,TRUE
12,Miso,B2,,0,Cat,TRUE,FALSE,0,TRUE
13,Stardust,B3,,0,Cat,TRUE,FALSE,0,TRUE
14,Basil,B4,,0,Cat,TRUE,FALSE,0,TRUE
15,Kiki,B5,,0,Cat,TRUE,FALSE,0,TRUE
16,Echo,B6,,0,Cat,TRUE,FALSE,0,TRUE
17,Brio,B7,,0,Cat,TRUE,FALSE,0,TRUE
18,Cashew,B8,,0,Cat,TRUE,FALSE,0,TRUE
19,Topaz,B9,,0,Cat,TRUE,FALSE,0,TRUE
20,Calypso,B10,,0,Cat,TRUE,FALSE,0,TRUE
21,Pippin,C1,,0,Cat,TRUE,FALSE,0,TRUE
22,Sushi,C2,,0,Cat,TRUE,FALSE,0,TRUE
23,Nala,C3,,0,Cat,TRUE,FALSE,0,TRUE
24,Glimmer,C4,,0,Cat,TRUE,FALSE,0,TRUE
25,Paws,C5,,0,Cat,TRUE,FALSE,0,TRUE
26,Rolo,C6,,0,Cat,TRUE,FALSE,0,TRUE
27,Taz,C7,,0,Cat,TRUE,FALSE,0,TRUE
28,Cinders,C8,,0,Cat,TRUE,FALSE,0,TRUE
29,Lyric,C9,,0,Cat,TRUE,FALSE,0,TRUE
30,Oat,C10,,0,Cat,TRUE,FALSE,0,TRUE
31,Samba,D1,,0,Cat,TRUE,FALSE,0,TRUE
32,Rumi,D2,,0,Cat,TRUE,FALSE,0,TRUE
33,Lark,D3,,0,Cat,TRUE,FALSE,0,TRUE
34,Nova,D4,,0,Cat,TRUE,FALSE,0,TRUE
35,Puddle,D5,,0,Cat,TRUE,FALSE,0,TRUE
36,Zen,D6,,0,Cat,TRUE,FALSE,0,TRUE
37,Snickers,D7,,0,Cat,TRUE,FALSE,0,TRUE
38,Hopper,D8,,0,Cat,TRUE,FALSE,0,TRUE
39,Muffin,D9,,0,Cat,TRUE,FALSE,0,TRUE
40,Vivi,D10,,0,Cat,TRUE,FALSE,0,TRUE
41,Doodle,E1,,0,Cat,TRUE,FALSE,0,TRUE
42,Patches,E2,,0,Cat,TRUE,FALSE,0,TRUE
43,Mingle,E3,,0,Cat,TRUE,FALSE,0,TRUE
44,Freckles,E4,,0,Cat,TRUE,FALSE,0,TRUE
